Session,Match_Number,Venue,Date_and_Time,Winning_Team,First_team,Second_Team,Link
2023,48,"Sawai Mansingh Stadium, Jaipur","MAY, FRI 5 , 7:30 pm IST",GUJARAT TITANS WON BY 9 WICKETS,"RAJASTHAN ROYALS
118
(17.5 OV)","GUJARAT TITANS
119/1
(13.5 OV )",https://www.iplt20.com/match/2023/903
2023,47,"Rajiv Gandhi International Stadium, Hyderabad","MAY, THU 4 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 RUNS,"SUNRISERS HYDERABAD
166/8
(20.0 OV)","KOLKATA KNIGHT RIDERS
171/9
(20.0 OV )",https://www.iplt20.com/match/2023/902
2023,46,"Punjab Cricket Association IS Bindra Stadium, Mohali","MAY, WED 3 , 7:30 pm IST",MUMBAI INDIANS WON BY 6 WICKETS,"PUNJAB KINGS
214/3
(20.0 OV)","MUMBAI INDIANS
216/4
(18.5 OV )",https://www.iplt20.com/match/2023/900
2023,45,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, WED 3 , 3:30 pm IST",NO RESULT,"LUCKNOW SUPER GIANTS
125/7
(19.2 OV)",CHENNAI SUPER KINGS,https://www.iplt20.com/match/2023/901
2023,44,"Narendra Modi Stadium, Ahmedabad","MAY, TUE 2 , 7:30 pm IST",DELHI CAPITALS WON BY 5 RUNS,"GUJARAT TITANS
125/6
(20.0 OV)","DELHI CAPITALS
130/8
(20.0 OV )",https://www.iplt20.com/match/2023/899
2023,43,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, MON 1 , 7:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 18 RUNS,"LUCKNOW SUPER GIANTS
108
(19.5 OV)","ROYAL CHALLENGERS BANGALORE
126/9
(20.0 OV )",https://www.iplt20.com/match/2023/898
2023,42,"Wankhede Stadium, Mumbai","APR, SUN 30 , 7:30 pm IST",MUMBAI INDIANS WON BY 6 WICKETS,"MUMBAI INDIANS
214/4
(19.3 OV)","RAJASTHAN ROYALS
212/7
(20.0 OV )",https://www.iplt20.com/match/2023/897
2023,41,"MA Chidambaram Stadium, Chennai","APR, SUN 30 , 3:30 pm IST",PUNJAB KINGS WON BY 4 WICKETS,"CHENNAI SUPER KINGS
200/4
(20.0 OV)","PUNJAB KINGS
201/6
(20.0 OV )",https://www.iplt20.com/match/2023/896
2023,40,"Arun Jaitley Stadium, Delhi","APR, SAT 29 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 9 RUNS,"DELHI CAPITALS
188/6
(20.0 OV)","SUNRISERS HYDERABAD
197/6
(20.0 OV )",https://www.iplt20.com/match/2023/895
2023,39,"Eden Gardens, Kolkata","APR, SAT 29 , 3:30 pm IST",GUJARAT TITANS WON BY 7 WICKETS,"KOLKATA KNIGHT RIDERS
179/7
(20.0 OV)","GUJARAT TITANS
180/3
(17.5 OV )",https://www.iplt20.com/match/2023/894
2023,38,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, FRI 28 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 56 RUNS,"PUNJAB KINGS
201
(19.5 OV)","LUCKNOW SUPER GIANTS
257/5
(20.0 OV )",https://www.iplt20.com/match/2023/893
2023,37,"Sawai Mansingh Stadium, Jaipur","APR, THU 27 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 32 RUNS,"RAJASTHAN ROYALS
202/5
(20.0 OV)","CHENNAI SUPER KINGS
170/6
(20.0 OV )",https://www.iplt20.com/match/2023/892
2023,36,"M Chinnaswamy Stadium, Bengaluru","APR, WED 26 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 21 RUNS,"ROYAL CHALLENGERS BANGALORE
179/8
(20.0 OV)","KOLKATA KNIGHT RIDERS
200/5
(20.0 OV )",https://www.iplt20.com/match/2023/891
2023,35,"Narendra Modi Stadium, Ahmedabad","APR, TUE 25 , 7:30 pm IST",GUJARAT TITANS WON BY 55 RUNS,"GUJARAT TITANS
207/6
(20.0 OV)","MUMBAI INDIANS
152/9
(20.0 OV )",https://www.iplt20.com/match/2023/890
2023,34,"Rajiv Gandhi International Stadium, Hyderabad","APR, MON 24 , 7:30 pm IST",DELHI CAPITALS WON BY 7 RUNS,"SUNRISERS HYDERABAD
137/6
(20.0 OV)","DELHI CAPITALS
144/9
(20.0 OV )",https://www.iplt20.com/match/2023/889
2023,33,"Eden Gardens, Kolkata","APR, SUN 23 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 49 RUNS,"KOLKATA KNIGHT RIDERS
186/8
(20.0 OV)","CHENNAI SUPER KINGS
235/4
(20.0 OV )",https://www.iplt20.com/match/2023/888
2023,32,"M Chinnaswamy Stadium, Bengaluru","APR, SUN 23 , 3:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 7 RUNS,"ROYAL CHALLENGERS BANGALORE
189/9
(20.0 OV)","RAJASTHAN ROYALS
182/6
(20.0 OV )",https://www.iplt20.com/match/2023/887
2023,31,"Wankhede Stadium, Mumbai","APR, SAT 22 , 7:30 pm IST",PUNJAB KINGS WON BY 13 RUNS,"MUMBAI INDIANS
201/6
(20.0 OV)","PUNJAB KINGS
214/8
(20.0 OV )",https://www.iplt20.com/match/2023/886
2023,30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 22 , 3:30 pm IST",GUJARAT TITANS WON BY 7 RUNS,"LUCKNOW SUPER GIANTS
128/7
(20.0 OV)","GUJARAT TITANS
135/6
(20.0 OV )",https://www.iplt20.com/match/2023/885
2023,29,"MA Chidambaram Stadium, Chennai","APR, FRI 21 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,"CHENNAI SUPER KINGS
138/3
(18.4 OV)","SUNRISERS HYDERABAD
134/7
(20.0 OV )",https://www.iplt20.com/match/2023/884
2023,28,"Arun Jaitley Stadium, Delhi","APR, THU 20 , 7:30 pm IST",DELHI CAPITALS WON BY 4 WICKETS,"DELHI CAPITALS
128/6
(19.2 OV)","KOLKATA KNIGHT RIDERS
127
(20.0 OV )",https://www.iplt20.com/match/2023/883
2023,27,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, THU 20 , 3:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 24 RUNS,"PUNJAB KINGS
150
(18.2 OV)","ROYAL CHALLENGERS BANGALORE
174/4
(20.0 OV )",https://www.iplt20.com/match/2023/882
2023,26,"Sawai Mansingh Stadium, Jaipur","APR, WED 19 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 10 RUNS,"RAJASTHAN ROYALS
144/6
(20.0 OV)","LUCKNOW SUPER GIANTS
154/7
(20.0 OV )",https://www.iplt20.com/match/2023/881
2023,25,"Rajiv Gandhi International Stadium, Hyderabad","APR, TUE 18 , 7:30 pm IST",MUMBAI INDIANS WON BY 14 RUNS,"SUNRISERS HYDERABAD
178
(19.5 OV)","MUMBAI INDIANS
192/5
(20.0 OV )",https://www.iplt20.com/match/2023/880
2023,24,"M Chinnaswamy Stadium, Bengaluru","APR, MON 17 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 8 RUNS,"ROYAL CHALLENGERS BANGALORE
218/8
(20.0 OV)","CHENNAI SUPER KINGS
226/6
(20.0 OV )",https://www.iplt20.com/match/2023/879
2023,23,"Narendra Modi Stadium, Ahmedabad","APR, SUN 16 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,"GUJARAT TITANS
177/7
(20.0 OV)","RAJASTHAN ROYALS
179/7
(19.2 OV )",https://www.iplt20.com/match/2023/878
2023,22,"Wankhede Stadium, Mumbai","APR, SUN 16 , 3:30 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"MUMBAI INDIANS
186/5
(17.4 OV)","KOLKATA KNIGHT RIDERS
185/6
(20.0 OV )",https://www.iplt20.com/match/2023/877
2023,21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 15 , 7:30 pm IST",PUNJAB KINGS WON BY 2 WICKETS,"LUCKNOW SUPER GIANTS
159/8
(20.0 OV)","PUNJAB KINGS
161/8
(19.3 OV )",https://www.iplt20.com/match/2023/876
2023,20,"M Chinnaswamy Stadium, Bengaluru","APR, SAT 15 , 3:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 23 RUNS,"ROYAL CHALLENGERS BANGALORE
174/6
(20.0 OV)","DELHI CAPITALS
151/9
(20.0 OV )",https://www.iplt20.com/match/2023/875
2023,19,"Eden Gardens, Kolkata","APR, FRI 14 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 23 RUNS,"KOLKATA KNIGHT RIDERS
205/7
(20.0 OV)","SUNRISERS HYDERABAD
228/4
(20.0 OV )",https://www.iplt20.com/match/2023/874
2023,18,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, THU 13 , 7:30 pm IST",GUJARAT TITANS WON BY 6 WICKETS,"PUNJAB KINGS
153/8
(20.0 OV)","GUJARAT TITANS
154/4
(19.5 OV )",https://www.iplt20.com/match/2023/873
2023,17,"MA Chidambaram Stadium, Chennai","APR, WED 12 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 3 RUNS,"CHENNAI SUPER KINGS
172/6
(20.0 OV)","RAJASTHAN ROYALS
175/8
(20.0 OV )",https://www.iplt20.com/match/2023/872
2023,16,"Arun Jaitley Stadium, Delhi","APR, TUE 11 , 7:30 pm IST",MUMBAI INDIANS WON BY 6 WICKETS,"DELHI CAPITALS
172
(19.4 OV)","MUMBAI INDIANS
173/4
(20.0 OV )",https://www.iplt20.com/match/2023/871
2023,15,"M Chinnaswamy Stadium, Bengaluru","APR, MON 10 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 1 WICKET,"ROYAL CHALLENGERS BANGALORE
212/2
(20.0 OV)","LUCKNOW SUPER GIANTS
213/9
(20.0 OV )",https://www.iplt20.com/match/2023/870
2023,14,"Rajiv Gandhi International Stadium, Hyderabad","APR, SUN 9 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 8 WICKETS,"SUNRISERS HYDERABAD
145/2
(17.1 OV)","PUNJAB KINGS
143/9
(20.0 OV )",https://www.iplt20.com/match/2023/869
2023,13,"Narendra Modi Stadium, Ahmedabad","APR, SUN 9 , 3:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,"GUJARAT TITANS
204/4
(20.0 OV)","KOLKATA KNIGHT RIDERS
207/7
(20.0 OV )",https://www.iplt20.com/match/2023/868
2023,12,"Wankhede Stadium, Mumbai","APR, SAT 8 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,"MUMBAI INDIANS
157/8
(20.0 OV)","CHENNAI SUPER KINGS
159/3
(18.1 OV )",https://www.iplt20.com/match/2023/867
2023,11,"Barsapara Cricket Stadium, Guwahati","APR, SAT 8 , 3:30 pm IST",RAJASTHAN ROYALS WON BY 57 RUNS,"RAJASTHAN ROYALS
199/4
(20.0 OV)","DELHI CAPITALS
142/9
(20.0 OV )",https://www.iplt20.com/match/2023/866
2023,10,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, FRI 7 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 5 WICKETS,"LUCKNOW SUPER GIANTS
127/5
(16.0 OV)","SUNRISERS HYDERABAD
121/8
(20.0 OV )",https://www.iplt20.com/match/2023/865
2023,9,"Eden Gardens, Kolkata","APR, THU 6 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 81 RUNS,"KOLKATA KNIGHT RIDERS
204/7
(20.0 OV)","ROYAL CHALLENGERS BANGALORE
123
(17.4 OV )",https://www.iplt20.com/match/2023/864
2023,8,"Barsapara Cricket Stadium, Guwahati","APR, WED 5 , 7:30 pm IST",PUNJAB KINGS WON BY 5 RUNS,"RAJASTHAN ROYALS
192/7
(20.0 OV)","PUNJAB KINGS
197/4
(20.0 OV )",https://www.iplt20.com/match/2023/863
2023,7,"Arun Jaitley Stadium, Delhi","APR, TUE 4 , 7:30 pm IST",GUJARAT TITANS WON BY 6 WICKETS,"DELHI CAPITALS
162/8
(20.0 OV)","GUJARAT TITANS
163/4
(18.1 OV )",https://www.iplt20.com/match/2023/862
2023,6,"MA Chidambaram Stadium, Chennai","APR, MON 3 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 12 RUNS,"CHENNAI SUPER KINGS
217/7
(20.0 OV)","LUCKNOW SUPER GIANTS
205/7
(20.0 OV )",https://www.iplt20.com/match/2023/861
2023,5,"M Chinnaswamy Stadium, Bengaluru","APR, SUN 2 , 7:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,"ROYAL CHALLENGERS BANGALORE
172/2
(16.2 OV)","MUMBAI INDIANS
171/7
(20.0 OV )",https://www.iplt20.com/match/2023/860
2023,4,"Rajiv Gandhi International Stadium, Hyderabad","APR, SUN 2 , 3:30 pm IST",RAJASTHAN ROYALS WON BY 72 RUNS,"SUNRISERS HYDERABAD
131/8
(20.0 OV)","RAJASTHAN ROYALS
203/5
(20.0 OV )",https://www.iplt20.com/match/2023/859
2023,3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 1 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 50 RUNS,"LUCKNOW SUPER GIANTS
193/6
(20.0 OV)","DELHI CAPITALS
143/9
(20.0 OV )",https://www.iplt20.com/match/2023/858
2023,2,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, SAT 1 , 3:30 pm IST",PUNJAB KINGS WON BY 7 RUNS (D/L METHOD),"PUNJAB KINGS
191/5
(20.0 OV)","KOLKATA KNIGHT RIDERS
146/7
(16.0 OV )",https://www.iplt20.com/match/2023/857
2023,1,"Narendra Modi Stadium, Ahmedabad","MAR, FRI 31 , 7:30 pm IST",GUJARAT TITANS WON BY 5 WICKETS,"GUJARAT TITANS
182/5
(19.2 OV)","CHENNAI SUPER KINGS
178/7
(20.0 OV )",https://www.iplt20.com/match/2023/856
